Date Set,Case No,Location,ParcelID,Eff. Date
11/13/2013,243669,519 COLORADO AVE,034C00380000,03/08/2013
03/25/2013,244419,2711 W CHESTNUT ST,001A01190000,06/21/2012
02/07/2013,245231,2116 W BURNETT AVE,041C00980000,04/29/2011
01/10/2013,245294,2912 VIRGINIA AVE,046J00350000,10/10/2012
05/01/2013,245517,4314 VERMONT AVE,007A00820000,09/14/2006
11/19/2013,245593,1820 S 23RD ST,040C00640000,01/07/2011
03/13/2013,245870,3132 W JEFFERSON ST,008H01050000,02/27/2012
05/10/2013,245915,826 S 38TH ST,043E00990000,01/08/2014
01/02/2013,245982,2526 W MAIN ST,003K00320000,07/20/2011
10/30/2013,246951,626 DAVIES AVE,034F00710000,09/20/2011
12/02/2013,246993,2561 BANK ST,004C00040000,05/02/2013
11/26/2013,247107,1631 PRENTICE ST,037D02270000,11/26/2013
03/12/2013,248226,2705 CEDAR ST,002B00160000,11/17/2006
01/15/2013,248367,609 S 39TH ST,006C00670000,11/20/2013
12/16/2013,248474,1464 S 9TH ST,042B00770000,03/21/2011
03/11/2013,249710,2657 DIXDALE AVE,040K00930104,10/15/2012
10/09/2013,249909,2419 BANK ST,004D00080000,04/15/2013
04/02/2013,249970,2404 W MADISON ST,001B01320000,04/02/2013
12/26/2013,250436,1783 W GAULBERT AVE,041F00670000,03/23/2012
04/10/2013,251143,1420 DIXIE HWY,041C02110000,02/21/2011
09/18/2013,251267,2700 W JEFFERSON ST,002B00530000,09/14/2010
12/13/2013,251285,1468 S 8TH ST,031J00210000,04/19/2007
05/08/2013,251998,1554 LOUIS COLEMAN JR DR,049B01050000,09/24/2013
03/19/2013,252530,4261 HAZELWOOD AVE,066D00180000,12/10/2010
11/05/2013,252997,515 N 27TH ST,004B00830000,03/22/2012
03/12/2013,253176,624 LOUIS COLEMAN JR DR,006H00710000,02/29/2012
12/02/2013,253256,1813 GREENWOOD AVE,038C00150000,12/02/2013
01/11/2013,254528,405 N 39TH ST,011E01560000,01/11/2013
04/23/2013,255171,1626 MCCLOSKEY AVE,041F00180000,06/29/2012
03/05/2013,255550,317 S 43RD ST,008D00570000,04/10/2012
03/19/2013,255649,2514 GARFIELD AVE,003B01180000,10/23/2012
03/06/2013,255945,2306 W ORMSBY AVE,038K00880000,03/06/2013
04/12/2013,256075,1156 S 26TH ST,046K01100000,04/12/2013
12/19/2013,257115,631 MIX AVE,034F00920000,05/29/2013
03/18/2013,257254,1029 S SHELBY ST,022H00060000,01/14/2013
11/19/2013,257966,2606 W MADISON ST,001B01030000,11/19/2013
05/09/2013,258023,724 S 24TH ST,036A00220000,08/14/2013
01/15/2013,258156,2716 CEDAR ST,002G01680000,10/11/2011
04/01/2013,258471,434 N 28TH ST,004F00600000,10/07/2011
09/19/2013,258887,2609 W JEFFERSON ST,002B00940000,10/05/2011
05/17/2013,259504,3108 VIRGINIA AVE,046H00360000,05/16/2011
02/18/2013,260309,4138 W BROADWAY,043C01580000,11/02/2012
12/11/2013,260572,1534 HEMLOCK ST,049D00800000,02/10/2012
12/18/2013,261196,1776 W HILL ST,041F00960000,10/22/2012
03/13/2013,261708,2817 S 6TH ST,050F00090000,12/14/2010
03/26/2013,262757,1300 W BRECKINRIDGE ST,037C00650000,07/07/2011
03/01/2013,262851,3527 W MUHAMMAD ALI BLVD,007E00460000,04/28/2009
01/30/2013,263557,1033 CECIL AVE,044C00230000,01/30/2013
04/02/2013,263843,2215 W CHESTNUT ST,001C01080000,08/27/2010
03/14/2013,263997,1847 BOLLING AVE,041C01060000,09/04/2013
05/14/2013,266260,113 N 39TH ST,009J00450000,06/21/2011
10/23/2013,266437,2015 W MARKET ST,003M00110000,12/06/2012
05/22/2013,266596,835 HAZEL ST,043H01980000,12/04/2008
11/04/2013,268181,1619 WILSON AVE,039D00720000,11/04/2013
11/19/2013,268462,1608 S 31ST ST,049G00910000,10/21/2011
12/30/2013,270056,1711 ST LOUIS AVE,039C00560000,03/08/2011
03/12/2013,270277,3329 GARLAND AVE,043G02060000,05/12/2008
03/12/2013,271088,3409 VERMONT AVE,007F00110000,03/12/2013
11/14/2013,271303,511 S 20TH ST,002L00240000,11/14/2013
03/14/2013,271704,1837 BOLLING AVE,041C01110000,03/11/2013
01/04/2013,271931,3125 VIRGINIA AVE,046H00470000,11/26/2012
04/10/2013,272348,2200 DUMESNIL ST,038L00830000,01/18/2013
10/17/2013,272354,1516 BEECH ST,049D00050000,02/22/2013
05/22/2013,275379,2901 DUMESNIL ST,046J00170000,02/28/2012
01/11/2013,276980,2707 SLEVIN ST,004G00110000,09/07/2012
05/10/2013,278354,211 CLAREMONT AVE,073B00150000,
01/22/2013,278659,1257 S BROOK ST,032C00070000,01/22/2013
05/06/2013,278844,4107 VERMONT AVE,007B01340000,10/08/2007
11/15/2013,279110,2326 W MUHAMMAD ALI BLVD,002J00550000,11/15/2013
05/09/2013,279542,1105 S 28TH ST,046G00460000,12/03/2012
05/06/2013,280145,2218 W OAK ST,038H00320000,02/28/2012
05/10/2013,280294,1806 LYTLE ST,015G00510000,12/13/2012
11/14/2013,281878,2136 DUNCAN ST,003G00320000,10/21/2013
11/06/2013,281985,1406 CATALPA ST,048J01290000,11/28/2007
02/25/2013,282086,3109 GREENWOOD AVE,046C00080000,03/20/2012
04/05/2013,282120,1008 WALTER AVE,054C00890000,03/15/2010
10/22/2013,282225,337 N 22ND ST,003G01170000,10/05/2012
10/08/2013,282559,111 N KEATS AVE,072B00450000,01/31/2012
04/02/2013,282702,3808 RIVER PARK DR,006C00970000,04/01/2013
03/13/2013,286776,2717 CEDAR ST,002B00110000,09/19/2013
05/20/2013,288822,1833 W LEE ST,041D01170000,07/27/2010
04/30/2013,288882,1704 VALLEY FORGE WAY 1,065H00780041,02/22/2012
10/14/2013,289131,1793 WILSON AVE,039C01020000,10/14/2013
05/17/2013,289362,2717 ELLIOTT AVE,001F00480000,09/12/2008
04/05/2013,289561,2512 GARFIELD AVE,003B01150000,05/24/2012
04/09/2013,290553,1159 S 26TH ST,038G00560000,11/28/2012
01/15/2013,290635,1718 W GAULBERT AVE,039F00170000,05/08/2012
05/13/2013,291090,649 S 28TH ST,001F00440000,10/31/2013
03/19/2013,292181,216 N 26TH ST,003J00340000,06/15/2012
12/02/2013,292525,1815 GREENWOOD AVE,038C00140000,01/02/2014
01/24/2013,293125,1231 S 22ND ST,038L01440000,08/27/2009
05/06/2013,293470,4105 W MAIN ST,009H01100000,08/20/2009
11/12/2013,295320,1755 W LEE ST,039F00020000,08/30/2010
04/17/2013,295459,421 WINKLER AVE 1,050D00560000,04/17/2013
11/19/2013,295750,2523 ST CECILIA ST,003B00150000,08/27/2012
11/19/2013,296147,2525 ST CECILIA ST,003B00150000,07/25/2012
10/16/2013,296614,1727 HALE AVE,037F01120000,10/16/2013
01/11/2013,296992,3128 GARLAND AVE,046C00940000,12/04/2013
03/04/2013,297134,1341 S 26TH ST,038K00090000,04/21/2008
11/01/2013,297672,1832 OSAGE AVE,038F00380000,11/01/2013
10/10/2013,297776,1450 S 9TH ST,042B01000000,03/14/2013
01/08/2013,297859,3419 W KENTUCKY ST,045B00720000,08/29/2008
01/29/2013,297874,641 MIX AVE,034F01100000,05/28/2010
11/15/2013,298070,117 N 45TH ST,009F01350000,05/01/2008
05/16/2013,298293,2105 HALE AVE,038F00120000,12/20/2013
02/20/2013,298330,1453 S 23RD ST,041C01560000,01/25/2012
04/04/2013,298421,813 S 36TH ST,043G00800000,04/04/2013
05/22/2013,298509,2126 STANDARD AVE,041C02240000,11/20/2008
01/02/2013,298524,843 S 33RD ST,043H00480000,11/15/2011
02/20/2013,298736,2900 WYANDOTTE AVE,040B01260007,10/16/2012
02/05/2013,299053,2318 W BURNETT AVE,040H00630000,02/05/2013
10/17/2013,299346,3118 SOUTHERN AVE,049C00930000,08/17/2012
01/15/2013,300295,1609 CYPRESS ST,040E00150000,01/15/2013
05/30/2013,301246,3807 BANK ST,011B00940000,11/12/2013
01/11/2013,301299,3126 GARLAND AVE,046C00950000,01/25/2012
11/01/2013,301812,1768 W BURNETT AVE,041F01970000,10/17/2012
05/21/2013,301843,3313 BANK ST,010A00410000,05/17/2012
04/04/2013,302024,652 S 35TH ST,006G01520000,03/01/2012
03/12/2013,302115,3119 RIVER PARK DR,007K00700000,08/07/2012
10/01/2013,302613,319 CECIL AVE,008D01360000,10/01/2013
12/17/2013,303016,1231 ALGONQUIN PKY,034E00600000,01/02/2014
10/03/2013,303080,2809 S 5TH ST,050F00520000,03/29/2013
10/22/2013,303194,1770 W GAULBERT AVE,041F00390000,02/12/2013
11/08/2013,305086,512 N 27TH ST,004B00520000,11/08/2013
04/08/2013,305224,2918 ALLEN AVE,050J01020000,03/15/2011
05/06/2013,305459,2608 S 4TH ST,050D00810000,10/15/2012
04/17/2013,305461,2614 S 4TH ST,050D00790000,12/06/2010
12/06/2013,305535,1926 ROWAN ST,003M02540000,09/17/2013
03/12/2013,306501,2413 W MUHAMMAD ALI BLVD 1,002H01270000,07/23/2008
04/04/2013,306876,423 N 42ND ST,011E00100000,12/24/2008
03/12/2013,307372,711 S 32ND ST,043H00970000,03/18/2013
10/22/2013,307704,1708 WILSON AVE,039D00120000,02/16/2011
11/14/2013,308884,1762 W OAK ST,039A01160000,11/14/2013
11/14/2013,309035,1716 HALE AVE,037F00360000,11/14/2013
02/18/2013,309184,1767 W HILL ST,041F01310000,08/03/2009
02/21/2013,309363,1635 DIXDALE AVE,041K00900007,01/16/2013
11/11/2013,309513,1813 BANK ST,015G00200000,01/02/2014
03/21/2013,309905,625 MIX AVE,034F00950000,03/22/2012
11/14/2013,310585,1840 W KENTUCKY ST,038C00200000,11/14/2013
04/16/2013,312045,1757 W HILL ST,041F01360000,02/24/2012
04/08/2013,312162,4336 S 3RD ST,055J00180000,01/11/2010
12/18/2013,312238,1785 BOLLING AVE,041F01720000,12/01/2011
01/14/2013,312293,1955 S 16TH ST,042F00040000,05/15/2012
05/01/2013,312467,2719 GARLAND AVE,046B00560000,05/01/2013
10/01/2013,312776,3425 BANK ST,010A00040000,03/08/2011
10/23/2013,313322,815 CECIL AVE,043D00040000,10/23/2013
05/07/2013,313941,1320 S 26TH ST,048E01570000,02/14/2011
02/26/2013,314664,206 FREEMAN AVE,062A00520000,02/20/2013
11/08/2013,314673,1210 TENNESSEE AVE,063B00310000,08/07/2012
08/12/2013,314989,1816 W LEE ST,041D00640000,11/24/2009
02/11/2013,315421,1036 S 6TH ST,029G00780000,07/17/2012
03/20/2013,315882,2717 GARLAND AVE,046B00570000,05/05/2009
10/16/2013,317598,630 N 27TH ST,005E00830000,03/27/2012
03/21/2013,318959,930 E MUHAMMAD ALI BLVD,016E01890000,01/31/2013
03/15/2013,319961,1325 S 28TH ST,048E00450000,11/01/2011
03/29/2013,319968,2120 BOLLING AVE,041C00260000,11/06/2012
01/03/2013,321056,2300 BOLLING AVE,040G01150000,12/09/2011
01/08/2013,321547,3226 W MUHAMMAD ALI BLVD,007F00620000,03/12/2012
10/16/2013,323002,5101 FAY AVE,061J00010000,10/15/2012
10/14/2013,324330,212 N 17TH ST,015F00820000,08/17/2012
02/27/2013,326028,316 LOUIS COLEMAN JR DR,008G01350000,12/06/2012
03/12/2013,326149,509 MARRET AVE,023D00770000,02/22/2012
10/15/2013,326580,305 N 19TH ST,015F01470000,03/06/2012
04/08/2013,326608,1706 ST LOUIS AVE,039C00290000,03/19/2010
