CaseLocation,Expenses,LengthAbandoned
1143 LOUIS COLEMAN JR DR,0,1132
1144 LORETTA ST,324.75,663
1144 S 16TH ST,0,1391
1145 S 32ND ST,4323.07,1507
1146 LONE OAK AVE,584.5,226
1146 LOUIS COLEMAN JR DR,541.25,507
1146 S 7TH ST,0,1538
1147 DIXIE HWY,2707.6,1527
1148 LOUIS COLEMAN JR DR,1983.22,1437
1148 S 4TH ST,0,200
1148 S FLOYD ST,0,33
1149 S 32ND ST,3218.5,1571
1149 S 7TH ST,108.9,1507
115 N 28TH ST,5511.93,1537
115 N 34TH ST,902.15,1269
115 N 36TH ST,806.12,1220
115 N 41ST ST,567.39,64
115 NORTHWESTERN PKY,883,1286
115 S 42ND ST,0,1530
1150 ELLERHOLT CT,0,1193
1150 LOUIS COLEMAN JR DR,581.25,597
1150 S 3RD ST 1,614.98,54
1150 S FLOYD ST,62.5,921
11503 WATERFORD RD,269.15,1411
11505 ROBERT RD,0,1152
11509 ROCK BASS CT,0,823
1151 S 15TH ST,0,439
11513 LEEMONT DR,0,1530
11516 FLOWERVALE LN,0,501
11519 DEERING RD,0,1363
1152 ELLERHOLT CT,3267.94,1472
1152 S 26TH ST,1702.19,1466
1152 S 43RD ST,4045.6,1543
1152 S FLOYD ST,498,380
1153 S 32ND ST,171,653
11533 REALITY TRL,308,46
1155 DIXIE HWY,216.5,1439
1156 ELLERHOLT CT,0,1171
1156 S 26TH ST,1475.01,1466
1156 S 28TH ST,0,29
1158 S 3RD ST,97.54,800
1159 LORETTA ST,453,338
1159 S 26TH ST,3327.66,1451
116 FAIRLAWN RD,613.68,1165
116 N 19TH ST,383.15,164
116 N 34TH ST,272.64,64
116 N 35TH ST,761.3,1419
116 N LONGWORTH AVE,485.5,758
116 S LONGWORTH AVE,689.15,892
1160 S 15TH ST,1722.82,1555
11606 SUN GLOW CT,0,486
1162 S 41ST ST,689.5,1208
1164 S 3RD ST,0,1500
1166 S 41ST ST,2892.47,898
1167 S 41ST ST,0,913
117 DR W J HODGE ST,1028.97,841
117 HILL BEND PL,1603.5,725
117 N 26TH ST,243,186
117 N 45TH ST,4765.25,1333
117 S 23RD ST,216.5,107
117 W BRECKINRIDGE ST,1468.5,1405
1170 S 41ST ST,4225.83,1565
11703 ENGLISH MEADOW DR,435,1565
11704 BRACKENBERRY CT,0,1493
11705 DIXIE HWY,1156,387
11705 ENGLISH MEADOW DR,0,1531
11706 ENGLISH MEADOW DR,0,1531
11707 DIXIE HWY,3910.65,387
11708 HERRICK LN,0,1202
11709 ENGLISH MEADOW DR,218.5,1565
1171 S 23RD ST,324.75,698
11710 BRACKENBERRY CT,670,1080
11711 ENGLISH MEADOW DR,435,1565
11711 MAHOGANY DR,0,1577
11712 ENGLISH MEADOW DR,868,1565
11713 WILTONWOOD CT,433,1160
11715 WILTONWOOD CT,0,762
11720 DIXIE HWY,961.89,982
1173 S 41ST ST,349.03999999999996,718
1179 INDUSTRIAL BLVD,324.75,290
118 HOLLEY RD,0,1578
118 S 33RD ST,6430.06,1486
118 S 45TH ST,1527.68,1069
118 STOLL AVE,649.5,732
11800 LEEMONT DR,363.97,1164
11801 STANDIFORD PLAZA DR,0,1095
11803 CEDARDALE RD,160.04,955
