CaseLocation,Expenses,LengthAbandoned
6215 SERENITY CT,445.97,501
6216 MOORMAN RD,1294.96,1494
6218 BETHANY LN,762.08,275
6219 PRICE LANE RD,236.5,793
6219 UPPER HUNTERS TRCE,636,1060
622 CAMP ST,0,1451
622 E BRECKINRIDGE ST,2813.4700000000003,1551
622 E ORMSBY AVE,311.25,429
622 N 24TH ST,2021.6399999999999,1487
622 S 27TH ST,229.47,136
6220 COOPER CHAPEL RD,0,1025
6221 JOHNSONTOWN RD,0,880
623 BARRET AVE,1333.25,1579
623 CALDWELL ST,0,32
623 E HILL ST,616.75,1579
623 E ORMSBY AVE,833.14,80
623 LOUIS COLEMAN JR DR,0,1046
623 S 22ND ST,0,152
623 WASHBURN AVE,216.5,74
6237 MIDDLEROSE CIR,0,1529
624 ATWOOD ST,2551.25,1578
624 E BRECKINRIDGE ST,2619.9,1551
624 E OAK ST,688.96,51
624 LOUIS COLEMAN JR DR,2965.36,1452
624 S 15TH ST,216.5,94
624 S 22ND ST,1108.73,1256
624 S 26TH ST,0,319
624 S 38TH ST,0,65
624 S 39TH ST,93.75,1060
624 S 41ST ST,5020.76,1417
625 BEECHER ST,412,1479
625 MIX AVE,3556.2,1562
625 N 19TH ST,364.75,229
625 N 28TH ST,806.5,1536
625 S 19TH ST 1,3399.34,1520
625 WASHBURN AVE,422.4,1298
626 E BRECKINRIDGE ST,686.02,1549
626 S 22ND ST,0,327
626 S 26TH ST,0,319
627 E BRANDEIS AVE,0,816
627 E ORMSBY AVE,6041.61,1514
628 N 27TH ST,365.07,1545
628 S 22ND ST,2753.29,1388
629 CALDWELL ST,3251.5,1516
629 CECIL AVE,643,1312
629 MIX AVE,3260.25,1537
629 N 28TH ST,1866.24,1536
629 S 19TH ST,1100,1520
629 S 28TH ST,0,849
629 S 38TH ST,0,54
630 E BRECKINRIDGE ST,3702.1,1551
630 LOUIS COLEMAN JR DR,0,-Inf
630 N 26TH ST,236.5,333
630 N 27TH ST,6437.99,1549
630 RAWLINGS ST,0,-Inf
630 S 35TH ST,1994.97,1480
6300 GAYLE DR,0,-Inf
6300 MARAVIAN DR,0,85
6301 MOORMAN RD,0,1012
6302 APEX DR,194,916
6302 FLINTLOCK CIR,125,1010
6303 HANSES DR,0,1439
6303 TERRY RD,0,1244
6304 EUREKA AVE,93.75,838
6304 TRIPLETT WOODS DR,0,774
6304 VENANGO DR,64.5,1290
6305 MILO CT,0,817
6305 TRIPLETT WOODS DR,0,774
6306 JOHNSONTOWN RD,1443.75,627
6306 TRIPLETT WOODS DR,0,774
6307 COOPER CHAPEL RD,0,1122
6307 LOWER HUNTERS TRCE,2811.76,824
6307 OCHO RIOS CT,708.14,1550
6307 RED SPRUCE DR,972.36,1271
6307 TERRY RD,891.5,485
6308 EUREKA AVE,1417.75,465
6309 JOHNSONTOWN RD,0,1075
631 CAMP ST,203,767
631 MADELON CT,1445,618
631 MIX AVE,7873.42,1562
631 S 19TH ST,908,1520
631 SOUTHWESTERN PKY,329,866
6310 FERNVIEW RD,326.75,1447
6311 COMMERCE PARK CT,974.25,499
6311 EUREKA AVE,0,1248
6311 KENYON DR,62.5,438
6312 TRIPLETT WOODS DR,0,774
6313 RIVERDALE RD,749.55,1087
6314 TRIPLETT WOODS DR,0,774
6315 EUREKA AVE,861,1081
6315 HACKBERRY WAY,304.5,859
6318 TRIPLETT WOODS DR,0,774
6319 BARDSTOWN RD,229.47,96
6319 TRIPLETT WOODS DR,0,774
632 DAVIES AVE,806.55,152
632 E BRECKINRIDGE ST,1866.75,976
632 JORDAN AVE,867.5,690
632 LOUIS COLEMAN JR DR,353,785
632 S 27TH ST,227.54,1545
6320 TRIPLETT WOODS DR,0,774
6325 APPLEGATE LN,462.94,1552
633 S 22ND ST 1,0,-Inf
633 S 38TH ST,62.5,87
634 DAVIES AVE,140.15,23
634 E ST CATHERINE ST,1262.71,1587
634 JORDAN AVE,1178.75,690
6346 HUNTERS GROVE RD,384.2,296
635 LINDELL AVE,0,752
635 RAWLINGS ST,1213.19,408
635 S 38TH ST,5309.4800000000005,1550
635 S 44TH ST,828.25,730
636 DAVIES AVE,2877.65,1562
636 E BURNETT AVE,101.5,115
636 E ST CATHERINE ST,0,1412
636 JORDAN AVE,1113.4,534
636 LINDELL AVE,0,1150
636 S 26TH ST,1034.75,827
6360 CHISM RD,344.32,1473
637 BARRET AVE,995.75,1244
637 E BURNETT AVE,8938.42,1500
637 E HILL ST,2776.42,1559
637 E OAK ST,281,1313
637 LOUIS COLEMAN JR DR,0,-Inf
637 MIX AVE,11571.87,390
637 S 18TH ST,236.5,806
637 S 39TH ST,1125.5,1509
638 CECIL AVE,546.85,536
638 E ORMSBY AVE,229.47,1185
638 EDITH RD,62.5,1209
638 JORDAN AVE,2182.95,1522
638 S 26TH ST,0,829
638 S 40TH ST,845,1299
638 S 43RD ST,2992,1516
639 E BURNETT AVE,3845,1425
639 FINZER ST,0,79
639 MIX AVE,0,40
639 N BIRCHWOOD AVE,511.3,438
639 S 27TH ST,993.46,1184
639 W FLORENCE AVE,62.5,1167
640 CAMP ST,259.47,80
640 DAVIES AVE,3872.61,1558
640 JORDAN AVE,1401,1563
640 S 20TH ST,0,45
640 S 36TH ST,220.75,1488
640 ZORN AVE 9B,184.55,732
6400 CLOVER TRACE CIR,0,1522
6400 EL RANCHO RD,0,1565
6400 TRIPLETT WOODS DR,0,774
6401 EL RANCHO RD,0,1565
6401 RIVER RD,218.75,670
6402 OVERTON RD,229.47,1179
6402 SIX MILE LN,0,74
6402 TRIPLETT WOODS DR,0,774
6403 EL RANCHO RD,0,1565
6403 GREENVIEW DR,384.2,200
6403 HUNTERS CREEK BLVD,223,102
6404 EL RANCHO RD,0,1565
6404 TRIPLETT WOODS DR,0,774
6405 EL RANCHO RD,0,1565
6405 TRIPLETT WOODS DR,0,776
6406 GABRIEL DR,0,-Inf
6407 EUREKA AVE,433,1060
6407 OCHO RIOS CT,0,-Inf
6407 TRIPLETT WOODS DR,0,774
6408 AUTUMN OAK WAY,0,422
6408 EL RANCHO RD,0,1565
6409 EL RANCHO RD,0,1565
6409 LINSTEAD RD,304.5,362
641 DR W J HODGE ST,1066.47,1073
641 E HILL ST,0,1090
641 LOUIS COLEMAN JR DR,387.2,120
641 MIX AVE,1871.5,1369
641 S 36TH ST,4859.2,1377
6411 BETHANY LN,4536.25,690
6412 EL RANCHO RD,0,1565
6412 STABLEVIEW PL,579.29,821
6413 DUROC AVE,927.66,1166
6414 MARAVIAN DR,216.5,794
6414 RIVERDALE RD,441.7,1454
6415 EL RANCHO RD,0,1565
6416 EL RANCHO RD,216.5,1565
6418 EL RANCHO RD,0,1565
6419 EL RANCHO RD,0,1565
642 DR W J HODGE ST,3525.7200000000003,1412
642 S 22ND ST,1546.44,1163
642 S 26TH ST,3258.35,1524
642 S 27TH ST,1389.25,1440
642 S 41ST ST,3452398,-Inf
642 SANDRA CT,0,269
6420 NORTH DR,1686.15,1461
643 MIX AVE,1897.2,1528
643 S 23RD ST,1028.32,1090
643 S 37TH ST,108.25,340
643 S 38TH ST,3729.25,1549
643 SANDRA CT,1261.8700000000001,376
6431 HUNTERS CREEK BLVD,896.5,1496
6433 HUNTERS CREEK BLVD,507.94,1313
6434 CLOVER TRACE CIR,0,1459
644 DAVIES AVE,1877.07,1558
644 E ORMSBY AVE,2630.65,1122
644 N 28TH ST,791,1276
644 N 29TH ST,2009.61,954
644 S 22ND ST,1684.95,1163
644 S 23RD ST,906.69,1159
644 S 26TH ST,4163.6,1524
644 S BARBEE WAY,229.47,283
645 CECIL AVE,0,-Inf
645 DR W J HODGE ST,310.5,1572
645 MIX AVE,3717.88,1087
645 S 27TH ST,63.25,508
645 S 42ND ST,0,127
646 LOUIS COLEMAN JR DR,0,488
646 N 24TH ST,1881.17,1550
646 S 22ND ST,1717.94,1103
646 S 23RD ST,0,360
646 S 24TH ST,0,87
646 S 38TH ST,899.9,1549
646 S 40TH ST,1023.5,1073
646 S 42ND ST,97.54,5
647 LINDELL AVE,334.5,905
647 S 19TH ST,419.5,806
647 S 24TH ST,4431.03,1370
647 S 36TH ST,2061,871
648 N 29TH ST,2010.12,936
648 S 22ND ST,707.49,1104
648 S 27TH ST,0,-Inf
649 DR W J HODGE ST,1198.25,425
649 S 27TH ST,840.64,752
649 S 28TH ST,3579.88,1305
649 S 41ST ST,1385.08,1172
649 SOUTHWESTERN PKY,0,1059
650 DR W J HODGE ST,880.97,968
650 N 28TH ST,243,58
650 S 23RD ST,775.5,613
650 S 27TH ST,2441.75,1353
650 S 43RD ST,0,53
6500 ASHLEY MARIE LN 101,399.44,1507
6500 DON BON CT,1786.9,1220
6500 FENWICK DR,948,1475
6500 HACKEL DR 4,789.4200000000001,1313
6500 KEELING PARK DR,282,1139
6500 MERCURY DR,205.19,1185
6500 NORTH DR,1562.22,1453
6500 PENDLETON RD,0,795
6500 REDHAVEN WAY,97,1522
6501 DIXIE HWY,0,-Inf
6501 FLAGLER AVE,0,-Inf
6503 GLO JEAN WAY,0,834
6504 HACKEL DR 1,0,-Inf
6504 OAK VALLEY DR,0,1200
6504 PENDLETON RD,1651.1,1552
6505 GLO JEAN WAY,436,1094
6505 MANDEVILLE CT,0,1061
6506 DAYTONA AVE,1250.47,437
6506 PRICE LANE RD,324.75,284
6507 DUROC AVE,0,113
6507 JACOB SCHOOL RD,343.75,1012
6507 LUCERNE AVE,3061.64,1185
6508 LEISURE LN,304.5,859
6509 DUROC AVE,0,113
651 ATWOOD ST,1169.25,1103
651 BERGMAN ST,1728.2,1425
651 S 24TH ST,2092.5699999999997,1410
651 S 37TH ST,0,-Inf
651 S 38TH ST,3078.69,1279
651 S 41ST ST,4874.66,1453
6510 BIRCHLINE BLVD,93.75,555
6510 MELROSE AVE,577.2,1452
6511 GREEN MANOR DR,0,1382
6512 HOLLOW TREE RD,0,1152
6512 HUNTERS CHASE LN,593.68,292
6513 CONNIE DR,1179,1137
6513 DUROC AVE,405,1082
6514 ESSEX AVE,951.22,1082
6514 HUNTERS CREEK BLVD,201.5,1215
6514 KENMORE AVE,354.75,1139
6514 SKY BLUE AVE,0,-Inf
6515 BURLWOOD DR,1069.32,1027
6515 KENMORE AVE,541.25,1032
6516 FLAGLER AVE,1527.61,376
6517 DIXIE HWY,0,1192
6517 KEELING PARK DR,324.75,418
6519 PUTMAN ST,1014.95,1335
652 DR W J HODGE ST,746.18,1353
652 LOUIS COLEMAN JR DR,610,928
652 N 28TH ST,292.9,80
652 S 20TH ST,103.5,1480
652 S 22ND ST,619.22,810
652 S 26TH ST,4108.79,1572
652 S 35TH ST,2275.41,1459
652 S 38TH ST,430,1516
652 S BARBEE WAY,1282.25,1152
6521 MELROSE AVE,2491.25,1256
6527 KEELING PLACE RD,0,474
6528 MELROSE AVE,239.5,1256
653 BERGMAN ST,1330.72,1412
653 CECIL AVE,792.75,788
653 LOUIS COLEMAN JR DR,203,663
653 S 36TH ST,2450.91,712
653 S 38TH ST,5015.24,1507
653 S 42ND ST,0,1073
6533 HUNTERS CHASE LN,0,102
6534 ESTELE AVE,453,1131
6536 ESTELE AVE,453,1131
6539 ESTELE AVE,0,1220
654 DAVIES AVE 101,906.3199999999999,394
654 S 22ND ST,3576.24,1103
654 S 27TH ST,3174.49,872
6541 ESTELE AVE,0,1164
655 S 20TH ST,77.65,663
655 S 22ND ST,0,372
656 LYNN ST,101.5,108
656 N 28TH ST,101.5,745
656 S 22ND ST,1826.72,1384
656 S 36TH ST,1154.22,474
656 S 37TH ST,1099.25,411
657 MIX AVE,1318.2,1555
657 N 26TH ST,540.95,325
657 S 35TH ST,608.5,418
657 S 36TH ST,629.74,831
6571 SYLVANIA RD,0,115
658 CURRY CT,0,-Inf
658 LINDELL AVE,394.75,222
658 LOUIS COLEMAN JR DR,1107.25,128
658 S 22ND ST,1061.7,1103
658 S 27TH ST,1729.26,1419
658 S 36TH ST,93.75,991
658 S 39TH ST,304.5,1530
659 CURRY CT,1405.5,1116
659 LOUIS COLEMAN JR DR,1291.35,1513
659 MADELON CT,2466.5,1452
659 S 36TH ST,0,781
659 S 42ND ST,1147.58,891
659 S 43RD ST,0,865
6591 SYLVANIA NO 6 RD,609,1075
660 CECIL AVE,0,172
660 CURRY CT,0,53
660 S 23RD ST,433,534
660 S 40TH ST,0,345
6600 E MANSLICK RD,38.25,1286
6600 ROB ROY ST,4019.28,1552
6601 BETHANY LN,378,435
6601 FLAGLER AVE,826.7,1346
6601 NORTH DR,5442.43,1388
6601 SOUTH DR,0,1074
6602 ELMWOOD ST,229.47,465
6602 PRESTON HWY,0,290
6602 VANDRE AVE,452.75,884
6603 AMIGO CT,0,-Inf
6603 MUSKET DR,0,1447
6604 BRIGHTON HILL LN,0,1467
6604 ROB ROY ST,2107.25,360
6605 DAYTONA AVE,1644.29,513
6605 MANSLICK RD,62.5,837
6605 MORNING STAR WAY,558,793
6606 BATSON CT,3038.63,584
6606 EL TORO CT,1242.25,367
6607 DAYTONA AVE,364.2,296
6607 EVANGELINE AVE,0,-Inf
6607 HUNTERS CREEK BLVD,0,1062
6607 WESTSHIRE DR,101.5,710
6608 SYLVANIA NO 4 RD,1165.65,570
6608 SYLVANIA RD,216.5,442
6608 VANDRE AVE,0,1451
6608 WESTSHIRE DR,726.36,1508
6609 ELMWOOD ST,1385.94,380
6609 MELROSE AVE,1545.72,1335
6609 WESTSHIRE DR,547.5,1493
661 HECKS LN,1136.47,1160
661 S 23RD ST,1995.5,1410
661 S 36TH ST,62.5,788
661 S 42ND ST,0,388
6610 MINT SPRING BRANCH RD,7391.89,1509
6610 MORNING STAR WAY,597.19,158
6610 VANDRE AVE,0,339
6611 ELMWOOD ST,3413.04,348
6611 MELROSE AVE,757.22,709
6611 MOORHAVEN DR,1594.14,1192
6612 CAPELLA LN,0,101
6612 GLENBROOK AVE,114.74,94
6612 VANDRE AVE,357.75,1451
6613 CAPELLA LN,473,194
6613 ELMWOOD ST,324.75,677
6615 CAPELLA LN,2537.5,1376
6615 DAYTONA AVE,701,759
6615 MEMORY LN,0,1095
6615 ROCKVIEW WAY,236.5,564
6616 DAYTONA AVE,5417.91,1306
6616 STRAWBERRY LN,397.5,1185
6617 DAYTONA AVE,1029.5,1335
6617 ESTELE AVE,0,-Inf
6617 MANSLICK RD,727.47,381
6617 SYLVANIA RD,1457.25,1065
6618 HUFF LN,896.22,1150
6618 STRAWBERRY LN,141,1188
6619 BAHAMA LN,2275.23,1180
6619 DAYTONA AVE,705,984
6619 FINCASTLE TRL,633.94,348
662 EASTLAWN AVE,260.5,1458
662 LINDELL AVE 1,409.75,318
662 LINDELL AVE 3,0,1026
662 S 24TH ST,483,354
662 S 27TH ST,935.69,275
662 S 41ST ST,346.75,43
662 S 43RD ST,3137.45,1584
6620 BROOK BEND WAY,535,1495
6620 BRUNER LN,0,341
6620 FLAGLER AVE,3418.22,1335
6621 DAYTONA AVE,916.75,984
6624 ASHBY LN,0,795
6627 VANDRE AVE,324.75,54
6629 ESTELE AVE,940.5,775
663 CURRY CT,3663.94,1370
663 GRUNDER AVE,0,-Inf
663 S 23RD ST,2584.11,1410
663 S 41ST ST,1209.75,1123
6632 ESTELE AVE,233,663
6632 VANDRE AVE,541.25,1061
664 CURRY CT,1203.25,1353
664 S 26TH ST,2388.75,956
664 S 37TH ST,4324.5,1374
6640 STRAWBERRY LN,261.4,1536
6642 STRAWBERRY LN,747.19,1553
6647 SYLVANIA RD,1622,1416
665 LOUIS COLEMAN JR DR,4865.79,1513
665 S 26TH ST,246.5,837
665 S 27TH ST,0,956
665 S 38TH ST,93.75,3
6658 SYLVANIA RD,1918.75,1404
667 HECKS LN,1600.65,992
667 S 36TH ST,0,-Inf
667 S 37TH ST,3156.12,1584
667 S 40TH ST,0,807
6676 RUTLEDGE RD,0,1095
668 LOUIS COLEMAN JR DR,606.25,268
668 S 36TH ST,0,716
669 ATWOOD ST,518,380
669 CECIL AVE,1129.5,1572
669 CURRY CT,829.25,711
669 HECKS LN,2405.4900000000002,752
669 S 26TH ST,858.5,1571
669 S 36TH ST,354.75,30
669 S 43RD ST,613.68,618
670 S 35TH ST,4506.75,1377
670 S 37TH ST,672.25,985
670 S 41ST ST,0,241
6700 CAPELLA LN,194.25,1524
6700 GLENBROOK AVE,491,58
6700 MONTY LN,459,58
6700 PUTMAN ST,1502,709
6700 SYLVANIA NO 6 RD,1342.1299999999999,1332
6701 ELMWOOD ST,2853.14,1496
6701 SHIRLEY AVE,698.5,1570
6702 ELMWOOD ST,0,24
6702 FERNVIEW RD,0,1094
6702 KENMORE AVE,2459.5,620
6702 NORWAY DR,672.5,1552
6702 PUTMAN ST,735.79,1335
6702 SOUTHSIDE DR,0,1520
6704 LONGLAKE DR,0,-Inf
6704 SHAREITH DR,0,465
6706 ELMWOOD ST,0,1039
6707 STANA DR,0,180
6707 VANDRE AVE,125,1557
6708 BARFIELD RD,312.5,1493
6708 ELMWOOD ST,229.47,60
6708 MOORHAMPTON DR,0,1074
6709 FERNBUSH DR,558.5,1579
671 HECKS LN,928.42,459
671 S 26TH ST,893,1571
671 S 37TH ST,1143,716
671 S 39TH ST,1006.25,1493
6710 JOHN ADAMS WAY,1407.23,109
6711 TRIANGLE DR,592.5,199
6712 CINDY DR,1317.25,1564
6714 CINDY DR,2532.5,1564
6715 SHIRLEY AVE,941.88,1578
6717 MARIAN DR,0,724
672 S 26TH ST,6055.33,1501
672 S 35TH ST,1593.25,781
672 S 41ST ST,0,775
6722 MUSKET DR,0,955
673 CURRY CT,714.5,711
674 CURRY CT,317.82,53
674 S 39TH ST,525.5,452
674 S 41ST ST,272.5,46
674 S 42ND ST,2839.94,1279
675 S 38TH ST,1372.91,1584
675 S 42ND ST,582.9,1307
676 CURRY CT,216.5,43
676 S 38TH ST,276.5,1045
676 S 43RD ST,281.5,327
677 CURRY CT,1035.2,1038
677 S 38TH ST,2108.16,1353
678 CURRY CT,2302.97,96467
679 CECIL AVE 1,961.86,1439
679 MADELON CT,2169.32,1419
679 S 38TH ST,2079.92,1353
680 CECIL AVE,441,1312
680 S 38TH ST,5773.31,1500
680 S 39TH ST,0,1453
6800 BARBROOK RD,0,138
6800 FENWAY RD,0,1493
6800 PRESTON HWY,164,1187
6800 SANDSTONE BLVD,515.5,838
6800 YUMA WAY,486,1172
6803 MANSLICK RD,0,-Inf
6804 HOLLOW CREEK CT,0,-Inf
6804 SHEPHERDSVILLE RD,2604.75,1510
6806 MANSLICK RD,0,963
6807 FINCASTLE TRL,951.5,1508
6807 KENTUCKY AVE,0,-Inf
6808 BARBROOK RD,431.13,1545
6808 CAPELLA LN,238,775
6808 CINDY DR,0,1152
6808 GREENWOOD RD,0,131
6808 MARIPOSA DR,561.25,137
6809 CRESTON DR,0,786
681 S 41ST ST,9140.79,1508
6810 COPRA LN,446.47,1199
6812 SEATON WOODS DR,471,732
6813 BARBROOK RD,1001.55,1536
6814 SWITCH BARK CT,108.25,474
6815 BROOK BEND WAY,0,992
6815 SANDSTONE BLVD,0,1535
6816 JOHN ADAMS WAY,62.5,619
6818 JAMES MADISON WAY,2108,1572
682 S 38TH ST,835.22,452
682 S 44TH ST,0,941
6824 BROWNSBORO RD,649.5,698
6824 MANSLICK RD,0,1151
685 S 38TH ST,1050,752
690 S 38TH ST,524,780
6900 JAMES MADISON WAY,468,1558
6901 GREENWOOD RD,541.25,100
6901 SYLVANIA NO 4 RD,957.25,1291
6903 KENTUCKY AVE,537,625
6903 LAKE STORM CT,0,1445
6904 WATSON LN,110.25,1530
6905 ETHAN ALLEN WAY,813,669
6905 JOHN ADAMS WAY,0,1319
6905 OLD FEGENBUSH LN,944.88,1228
6905 TRIANGLE DR,0,837
6906 SPOURTLAND DR,0,1529
6906 YUMA WAY,0,1172
6907 ETHAN ALLEN WAY,1145,1208
6908 LAKEGREEN CT,2125.83,1292
6909 JAMES MADISON WAY,188,1213
6911 BLACKHORSE DR,0,1559
6913 MOOREWICK WAY,0,-Inf
692 MADELON CT,5711.88,1500
6920 HOLLY LAKE DR,2944.5,499
6921 COLRAIN CIR,0,1137
6924 BOWEN AVE,3237.49,556
6927 WOODHAVEN PLACE DR,203,762
6936 NORLYNN DR,141,1152
697 MADELON CT,62.5,474
7 WELBY RD,2449.05,1374
700 E KENTUCKY ST,0,381
700 E ORMSBY AVE,93.75,898
700 W KENWOOD DR,1290,772
700 W WHITNEY AVE 1,3601.55,1513
700 WINKLER AVE,801.25,1479
7001 BILLIE LN,0,113
7002 OUTER LOOP,62.5,1530
7003 BETSY ROSS DR,0,247
7004 BILLIE LN,0,823
7004 MEMORY LN,216.5,333
7005 GREEN CREEK PL,0,-Inf
7005 MEMORY LN,787.75,500
7005 ROGERS LN,513.5,1489
7007 BILLIE LN,908.14,1559
7007 RIVER RD,373.1,394
7007 ROGERS LN,1994.4,762
7008 MARY LAVERNE DR,0,836
7009 FEYHURST DR,430,1571
7009 MEIHAUS WAY,1582.99,1174
7009 SHIPLEY LN,0,1489
7009 SKY BLUE AVE,0,-Inf
701 E BURNETT AVE,0,688
701 E KENTUCKY ST,0,115
701 HAZEL ST,453,114
7011 NATHAN HALE WAY,0,463
7012 NORLYNN DR,0,9
7012 RAINBOW DR,698.95,795
7014 DAISY AVE,3489,1493
7014 JOHN PAUL LN,0,1083
7015 HICKOCK DR,1187,927
7015 ROGERS LN,1046.65,1572
7015 SHEPHERDSVILLE RD,0,484
7017 GREENWOOD RD,1167.94,486
7017 KENTUCKY AVE,3969.25,1459
702 HOBBS LN,201.7,670
702 INVERNESS AVE,310.5,1461
702 MOUNT HOLLY RD,710.5,463
703 CHERI WAY,1631.98,400
703 SINCLAIR ST,1966.25,655
704 W WHITNEY AVE,865.47,1167
705 E BRECKINRIDGE ST,0,1236
705 E CHESTNUT ST,437,1459
705 WASHBURN AVE,4182.97,1459
707 CECIL AVE,0,1472
707 DRESDEN AVE,187.5,683
707 E ORMSBY AVE,518.97,299
708 CALDWELL ST,561.83,1480
708 COMPTON ST,216.5,689
709 E HILL ST,4578.1900000000005,1579
709 HAZEL ST,471,723
709 N 34TH ST,2341.1,1312
710 E JACOB ST,0,31
710 E ORMSBY AVE,229.47,361
710 FAIRDALE RD,0,106
710 INVERNESS AVE,735.75,1412
710 IOWA AVE,2780.89,1073
710 LAMPTON ST,64.5,1292
710 S BARBEE WAY,0,408
7100 WATSON LN,473,71
7101 SKY BLUE AVE,580.5,864
7101 WATSON LN,2072.81,796
7102 SUN VALLEY DR,908.25,831
7102 WATSON LN,1351.48,471
7104 DUNKIRK LN,621,1577
7105 DAISY AVE,630.05,1537
7105 DEANNA DR,389.75,927
7105 SUN VALLEY DR,2837.5,1563
7106 BEDUM LN,948.75,1473
7106 SUNNY VALE WAY,324.75,1059
7108 BLAZIER CT,0,-Inf
7108 BUNGER AVE,1744.5,1454
7108 SKY BLUE AVE,0,340
7108 WATSON LN,661.25,121
7109 KENTUCKY AVE,0,1230
711 CECIL AVE,0,110
711 COKE ST,1397,1390
711 E ORMSBY AVE,1925.75,1446
711 S 32ND ST,1353.75,1440
7110 ETHAN ALLEN WAY,139,663
7110 RAINBOW DR,1690.15,184
7111 WALLER LN,0,1514
7112 BROKEN BOW DR,440,1578
7112 BUNGER AVE,1129.25,1447
7113 DUNKIRK LN,0,1206
7113 ETHAN ALLEN WAY,1691.25,1572
7113 NATHAN HALE WAY,62.5,991
7115 BRISCOE LN,1109.09,1059
7115 GREENWOOD RD,0,677
7115 PRESTON HWY,1190.75,484
7116 KENTUCKY AVE,783.25,529
712 CEDAR GROVE TER,976.58,1559
712 COKE ST,3695.07,1502
712 E MARKET ST,0,46
712 S 35TH ST,519.75,1404
712 SHAFFER RD,3236.55,1510
712 W ASHLAND AVE,433,114
712 WASHBURN AVE,1756,1459
7121 ETHAN ALLEN WAY,0,463
713 CALDWELL ST,0,1377
713 COLORADO AVE,0,439
713 DRESDEN AVE,0,1012
713 E BROADWAY,1727.5,179
713 E JACOB ST,2795.99,1405
713 E ORMSBY AVE,3234.97,1202
713 M ST,0,-Inf
713 W EVELYN AVE,243,1137
7130 DENVER LN,1329.9,1382
7131 SOUTHSIDE DR,0,39
714 E BRECKINRIDGE ST,236.5,407
714 E OAK ST,663,1499
714 E ORMSBY AVE,2363.28,1517
714 OAKLAND AVE,688,1538
714 S 37TH ST,62.5,52
715 BURTON AVE,282.3,1249
715 CALDWELL ST,1245,1410
715 CECIL AVE,1076.22,355
715 DRESDEN AVE,0,802
715 E JACOB ST,4110.4400000000005,1517
715 HAZEL ST,268,723
716 E ORMSBY AVE,1568.22,1552
716 FLICKER RD,0,1536
716 HENRY FIRPO ST,573.97,1160
716 LAMPTON ST,1524.5,1404
716 S 23RD ST,0,801
716 S 24TH ST,4231.01,1549
716 S 31ST ST,4511.54,1131
716 S 32ND ST,1299.15,1137
716 S 45TH ST,730.75,1123
717 CAMP ST,672.75,1046
717 E JACOB ST,0,122
717 OLDHAM ST,1574.87,1405
717 S 24TH ST,0,906
717 SHAFFER RD,1870,733
718 CECIL AVE,727.47,739
718 S 16TH ST,350.25,578
718 S 23RD ST,1698.36,1493
718 S 31ST ST,125,768
718 S 35TH ST,554.15,1521
718 S 45TH ST,0,-Inf
719 BRENDON HILLS PL,0,33
719 COKE ST,1797,1404
719 CREEL AVE,385.72,1209
719 OLDHAM ST,1318.97,1405
719 S 24TH ST,1648.26,1017
720 DEARBORN AVE,223,746
720 E ORMSBY AVE,2411.7200000000003,1563
720 LAMPTON ST,0,326
720 S 23RD ST,2673,1521
720 SHAFFER RD,951.5,857
720 W ST CATHERINE ST,656.18,507
7200 ALAMETER CT,0,338
7200 URANUS DR,0,787
7200 WATSON LN,2369.06,1551
7201 BETSY ROSS DR,217.8,292
7201 GREENWOOD RD,0,681
7201 ROYALWOOD DR,344.21,1167
7202 ASTIN CT,99,1522
7203 DAISY AVE,93.75,719
7203 EARL DR,1350,1094
7203 RAINBOW DR,0,795
7203 ROYALWOOD DR,0,10
7205 LORENZO LN,3060.75,1578
7205 WIMSTOCK AVE,0,341
7206 NATHAN HALE WAY,745.5,1489
7206 VOLAR LN,62.5,942
7207 ASTIN CT,3365.25,1451
7207 ROYALWOOD DR,344.21,1167
7208 WESBORO RD,869,501
7209 DUNKIRK LN,69.58,1215
7209 ETHAN ALLEN WAY,839.5,824
7209 WESBORO RD,0,215
721 E JACOB ST,0,361
721 LAMPTON ST,1630.25,1347
721 S 23RD ST,268.94,942
721 S 32ND ST,815.5,1069
721 S 40TH ST,718.41,1074
7213 OAKBURN DR,0,1552
722 CHERI WAY,0,499
722 DR W J HODGE ST,203,341
722 FINZER ST,669.97,1480
722 HENRY FIRPO ST,3326.2200000000003,1571
722 MAC DONALD RD,0,711
722 S 15TH ST,512.5,1433
722 S 23RD ST,0,1033
722 S 24TH ST,243,1200
722 SUTCLIFFE AVE,1652.97,1461
722 W EVELYN AVE,895.26,1549
722 W ST CATHERINE ST,3626.96,1524
7221 DAISY AVE,170.25,1572
7226 BROWNSBORO RD,0,845
7227 DAISY AVE,0,1585
723 E JACOB ST,62.5,18
723 LAMPTON ST,178.98,900
723 S 24TH ST,6907.79,1510
723 SPECKERT CT,0,353
723 SUTCLIFFE AVE,1045.5,740
723 VINE ST,422.25,739
723 W EVELYN AVE,499.75,89
724 COKE ST,500.725,1186
724 DR W J HODGE ST,203,341
724 HENRY FIRPO ST,0,1467
724 LOUIS COLEMAN JR DR,0,122
724 S 16TH ST,408,1555
724 S 23RD ST,0,1052
724 S 24TH ST,1102.58,1579
724 S 37TH ST,535.5,1437
724 W ST CATHERINE ST,718.86,1524
7240 MEADOW RIDGE DR,91.5,1285
7249 DIXIE HWY,1018.71,992
725 DENMARK ST,607,1503
725 E BRECKINRIDGE ST,77.11,1258
