CaseLocation,DateAbandoned,Expenses,PARCELID,ZIP
1801 BANK ST,2013-08-14,4699.72,NA,NA
1804 S PRESTON ST 1,2014-09-17,406,NA,NA
1810 CONGRESS ST 2,2015-04-13,794,NA,NA
1811 CONGRESS ST,2017-09-18,463,NA,NA
1811 CROP ST,2014-10-22,1881.24,NA,NA
1815 W JEFFERSON ST,2013-09-17,620.65,NA,NA
1816 TYLER PKY,2014-11-20,1373.5,NA,NA
1817 NORTHWESTERN PKY,2016-05-26,0,NA,NA
1817 W MARKET ST 1,2013-07-01,6888.68,NA,NA
1819 NORTHWESTERN PKY,2016-05-26,0,NA,NA
1819 W JEFFERSON ST,2013-08-15,472.75,NA,NA
1823 NORTHWESTERN PKY,2016-05-26,0,NA,NA
1825 NORTHWESTERN PKY,2016-06-23,203,NA,NA
1829 GRAND AVE,2017-01-30,62.5,NA,NA
1831 GREEN ALY,2013-09-19,2027.1200000000001,NA,NA
1847 BAIRD ST,2013-11-26,3075.87,NA,NA
1854 PORTLAND AVE,2014-05-05,2596.54,NA,NA
1910 W CHESTNUT ST,2016-07-19,246.5,NA,NA
1919 S 7TH ST,2015-08-24,0,NA,NA
1926 CROP ST,2015-10-22,281.5,NA,NA
1940 W CHESTNUT ST 1,2015-04-02,324.32,NA,NA
197 CORAL AVE 1,NA,0,NA,NA
200 SMITHFIELD RD,2015-07-08,955.36,NA,NA
2003 W MARKET ST,2016-11-29,62.5,NA,NA
2007 ST LOUIS AVE,2015-04-20,3244,NA,NA
2008 ST LOUIS AVE,2014-08-19,3038.92,NA,NA
2009 ST LOUIS AVE,2014-11-25,1095.6399999999999,NA,NA
2016 PORTLAND AVE,2015-10-20,346.25,NA,NA
2018 PEABODY LN 1,2015-09-14,0,NA,NA
2018 ST LOUIS AVE,2013-06-12,4191.9,NA,NA
2019 W BURNETT AVE 1,2016-06-30,62.5,NA,NA
2020 EASTERN PKY 101,2017-09-06,0,NA,NA
2020 PEABODY LN 13,2015-07-13,0,NA,NA
2022 ST LOUIS AVE,2016-10-31,552,NA,NA
209 NORTHWESTERN PKY,2013-11-11,5629.06,NA,NA
210 N 24TH ST,2013-08-14,1115.79,NA,NA
2100 ALGONQUIN PKY 1,2015-07-16,62.5,NA,NA
2100 W MAIN ST,2013-09-04,2613.75,NA,NA
2102 ST LOUIS AVE,2014-04-14,2387.73,NA,NA
2105 ST LOUIS AVE,2013-05-22,0,NA,NA
2106 ST XAVIER ST,2015-12-08,251,NA,NA
2109 ST LOUIS AVE,2013-07-11,1124.29,NA,NA
2111 ST LOUIS AVE,2013-07-11,343.82,NA,NA
2111 WILSON AVE,2014-09-24,0,NA,NA
2113 ALGONQUIN PKY,2015-09-01,62.5,NA,NA
2114 ALGONQUIN PKY,2015-09-16,574.75,NA,NA
2116 ST LOUIS AVE,2013-11-04,630.22,NA,NA
2117 EASTERN PKY,2016-10-10,0,NA,NA
2119 DUNCAN ST,2017-08-08,0,NA,NA
2124 MAGAZINE ST,2013-10-17,2769.25,NA,NA
2124 ROWAN ST,2016-09-26,0,NA,NA
2126 W JEFFERSON ST 1,2014-06-12,0,NA,NA
2131 W MUHAMMAD ALI BLVD 1,2013-05-30,51,NA,NA
215 N 24TH ST,2013-09-12,1171.4,NA,NA
216 DR W J HODGE ST 3,2014-05-01,63.5,NA,NA
217 S 28TH ST 1,2014-06-27,2704.47,NA,NA
219 S 26TH ST,2017-03-22,686.25,NA,NA
219 S 28TH ST 1,2013-08-21,3019.98,NA,NA
219 W WOODLAWN AVE 1,2016-11-29,587.83,NA,NA
220 DR W J HODGE ST 2,2014-01-30,127,NA,NA
2201 ST LOUIS AVE,2013-05-22,2084,NA,NA
2203 ST LOUIS AVE,2013-10-29,4955.77,NA,NA
2203 W MARKET ST,2016-09-29,304.5,NA,NA
2205 W MARKET ST,2016-09-29,717.25,NA,NA
2208 ST LOUIS AVE,2016-06-24,0,NA,NA
2208 ST XAVIER ST,2017-01-04,0,NA,NA
2208 W JEFFERSON ST,2017-07-06,0,NA,NA
2211 ST LOUIS AVE,2014-08-20,2074.5,NA,NA
2213 ST LOUIS AVE,2013-06-03,3173.11,NA,NA
2215 W BURNETT AVE 1,2016-03-24,674,NA,NA
2215 W BURNETT AVE 2,2015-11-02,216.5,NA,NA
2216 W MAIN ST B,2016-08-03,620.44,NA,NA
2217 BRIARGATE ST,2013-05-22,2260.5,NA,NA
2218 ST XAVIER ST,2014-09-02,177.24,NA,NA
222 DR W J HODGE ST 1,2013-09-03,33.25,NA,NA
222 DR W J HODGE ST 2,2013-09-03,288.25,NA,NA
222 DR W J HODGE ST 4,2013-12-17,72.08,NA,NA
2220 W MAIN ST,2014-04-01,376.63,NA,NA
2221 W ORMSBY AVE,2013-10-28,2012.25,NA,NA
2222 ST XAVIER ST,2014-08-12,2247.72,NA,NA
2224 W JEFFERSON ST 1,2013-09-16,989.2,NA,NA
2228 ST XAVIER ST,2014-08-12,2096.69,NA,NA
2230 ST XAVIER ST,2013-06-03,2576.24,NA,NA
2232 W MUHAMMAD ALI BLVD 1,2017-08-07,0,NA,NA
226 ST JOSEPH ST,2015-11-19,606.25,NA,NA
226 W BROADWAY,2017-06-12,0,NA,NA
228 NORTHWESTERN PKY,2016-06-23,0,NA,NA
230 W BROADWAY,2017-06-07,0,NA,NA
2301 ALGONQUIN PKY,2016-04-05,0,NA,NA
2301 BRIARGATE ST,2014-04-24,1030.72,NA,NA
2301 TERRIER CT 204,2014-05-01,0,NA,NA
2304 ST LOUIS AVE,2015-11-16,301.5,NA,NA
2306 ST LOUIS AVE,2006-11-15,3161.3,NA,NA
2307 RODMAN ST,2014-04-01,350.5,NA,NA
2313 ALGONQUIN PKY,2017-06-28,0,NA,NA
2313 ST LOUIS AVE,2013-06-17,4273.1900000000005,NA,NA
2315 ST LOUIS AVE,2016-03-29,2152.62,NA,NA
2316 MAPLE ST,2014-05-14,113.44,NA,NA
2318 ST LOUIS AVE,2014-11-06,0,NA,NA
232 N 20TH ST,2015-01-22,2514.75,NA,NA
2320 ST LOUIS AVE,2014-10-14,676.08,NA,NA
